DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7/11/16,0,39.98,-105.48,993.9,17.8,-5.3,10.1,210.5,6.7,0,-4.6
7/11/16,1,39.98,-105.48,993.6,16.6,-4.8,10.2,204.5,5.9,0,2.0
7/11/16,2,39.98,-105.48,994.8,16.7,-6.4,11,249,8.9,0,-5.4
7/11/16,3,39.98,-105.48,995.4,16.4,-6.3,12.5,262,18.9,0,-3.9
7/11/16,4,39.98,-105.48,998.9,14,-4.5,9.5,51.6,7.2,0,13.3
7/11/16,5,39.98,-105.48,1000.6,11.9,-4.6,7.6,85.7,4.5,0,21.1
7/11/16,6,39.98,-105.48,1001.6,12.8,-4.5,7,111.4,5.4,0,18.0
7/11/16,7,39.98,-105.48,999.8,15.7,-5.2,8.4,167.2,1,0,3.6
7/11/16,8,39.98,-105.48,1001.2,17.5,-5.3,6.8,232.7,7.7,0,-3.5
7/11/16,9,39.98,-105.48,1001.3,18.9,-4.4,7,255.9,11,0,-4.7
7/11/16,10,39.98,-105.48,1000.6,18.8,-1.5,5.1,254.3,10.9,0,8.3
7/11/16,11,39.98,-105.48,1000.6,20.4,-2.3,5.7,257.8,9.9,0,-1.0
7/11/16,12,39.98,-105.48,998.7,21.5,-2.7,6.1,251.1,13,0,-6.7
7/11/16,13,39.98,-105.48,998.3,22.1,-5.2,6.5,245.6,16.5,0,-19.4
7/11/16,14,39.98,-105.48,999.3,22.8,-4,7.3,253.4,13.6,0,-16.7
7/11/16,15,39.98,-105.48,997.8,23,-4.9,7.8,244.2,18.4,0,-21.2
7/11/16,16,39.98,-105.48,998.5,22.4,-3.6,7.5,257.9,19,0,-13.6
7/11/16,17,39.98,-105.48,997.8,22,-6,7.6,258.4,17.9,0,-22.4
7/11/16,18,39.98,-105.48,999.2,21.7,-8.2,7.9,250.4,17.7,0,-30.8
7/11/16,19,39.98,-105.48,1001,20.9,-8.9,7.9,252.3,15.4,0,-31.1
7/11/16,20,39.98,-105.48,1000.7,19.4,-6.9,7.9,251.7,11.4,0,-17.3
7/11/16,21,39.98,-105.48,1002.7,17.3,-7,8.1,247.7,7.9,0,-10.3
7/11/16,22,39.98,-105.48,1004.8,15.6,-6.4,7.8,173.3,3.8,0,-1.4
7/11/16,23,39.98,-105.48,1008.5,15.5,-3.4,5.2,267.5,0.5,0,12.4
7/11/16,24,39.98,-105.48,999.5666667,18.40416667,-5.095833333,7.854166667,220.6708333,10.54583333,0,-5.6
