DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
31-Jul-17,6,42.26,-113.5,1016.1,20.0,-3.5,13.5,342.8,7.9,0.0,-4.7
31-Jul-17,7,42.26,-113.5,1016.6,18.7,-4.4,13.3,343.7,6.1,0.0,-4.0
31-Jul-17,8,42.26,-113.5,1016.8,17.8,-4.9,13.0,346.7,5.9,0.0,-2.9
31-Jul-17,9,42.26,-113.5,1017.4,17.2,-4.7,12.6,347.1,5.8,0.0,0.2
31-Jul-17,10,42.26,-113.5,1018.0,16.0,-4.2,12.1,351.2,5.5,0.0,6.9
31-Jul-17,11,42.26,-113.5,1017.9,13.5,-1.9,11.6,8.5,3.0,0.0,27.0
31-Jul-17,12,42.26,-113.5,1018.6,12.6,-2.3,11.4,22.5,3.0,0.0,28.8
31-Jul-17,13,42.26,-113.5,1019.0,13.9,-2.0,11.0,344.0,1.8,0.0,24.9
31-Jul-17,14,42.26,-113.5,1019.2,17.3,-0.5,11.1,258.6,0.6,0.0,18.3
31-Jul-17,15,42.26,-113.5,1019.7,19.1,1.3,10.9,202.7,1.3,0.0,19.3
31-Jul-17,16,42.26,-113.5,1019.8,20.9,3.7,10.6,239.4,1.9,0.0,22.9
31-Jul-17,17,42.26,-113.5,1019.8,23.2,1.1,10.4,191.6,2.8,0.0,3.4
31-Jul-17,18,42.26,-113.5,1019.4,25.1,-1.6,10.2,241.4,2.2,0.0,-14.5
31-Jul-17,19,42.26,-113.5,1018.8,26.3,-1.9,11.0,253.5,4.7,0.0,-19.7
31-Jul-17,20,42.26,-113.5,1017.4,27.6,-2.5,12.0,264.0,6.0,0.0,-26.5
31-Jul-17,21,42.26,-113.5,1017.8,27.7,-3.7,12.1,282.5,6.3,0.0,-31.7
31-Jul-17,22,42.26,-113.5,1017.4,28.3,-5.6,12.7,295.0,6.6,0.0,-41.3
31-Jul-17,23,42.26,-113.5,1015.9,28.4,-3.0,13.2,290.0,5.7,0.0,-31.1
31-Jul-17,0,42.26,-113.5,1015.5,28.0,-2.2,13.3,302.6,5.9,0.0,-26.5
31-Jul-17,1,42.26,-113.5,1015.6,27.8,-1.8,13.7,322.5,5.3,0.0,-24.3
31-Jul-17,2,42.26,-113.5,1014.5,26.5,-2.2,13.5,343.3,5.9,0.0,-21.6
31-Jul-17,3,42.26,-113.5,1015.9,23.7,-0.1,13.4,0.9,4.9,0.0,-3.4
31-Jul-17,4,42.26,-113.5,1016.6,21.1,0.2,13.1,43.9,5.5,0.0,7.2
31-Jul-17,5,42.26,-113.5,1017.0,19.3,-0.7,12.9,23.3,4.6,0.0,9.9
31-Jul-17,24,42.26,-113.5,1017.5,21.7,-2.0,12.2,235.9,4.6,0.0,-3.5
