DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
2-Aug-17,6,47.26,-113.5,1017.4,18.4,6.2,10.3,51.0,10.4,0.0,43.4
2-Aug-17,7,47.26,-113.5,1018.3,17.7,6.8,10.2,49.3,9.7,0.0,48.8
2-Aug-17,8,47.26,-113.5,1017.7,17.2,6.2,9.9,49.3,8.4,0.0,48.2
2-Aug-17,9,47.26,-113.5,1018.4,16.7,5.6,9.7,49.7,7.1,0.0,47.6
2-Aug-17,10,47.26,-113.5,1018.5,15.4,5.3,9.4,51.7,5.5,0.0,51.6
2-Aug-17,11,47.26,-113.5,1019.7,15.1,5.0,9.3,79.6,3.7,0.0,51.5
2-Aug-17,12,47.26,-113.5,1020.2,12.8,6.3,8.5,118.1,3.2,0.0,67.1
2-Aug-17,13,47.26,-113.5,1021.3,13.7,7.3,7.8,181.2,2.7,0.0,67.7
2-Aug-17,14,47.26,-113.5,1020.9,15.3,7.8,7.6,177.7,1.6,0.0,63.2
2-Aug-17,15,47.26,-113.5,1021.3,16.6,7.8,7.4,151.1,1.6,0.0,57.7
2-Aug-17,16,47.26,-113.5,1021.4,17.6,8.1,7.3,208.0,2.0,0.0,54.9
2-Aug-17,17,47.26,-113.5,1021.4,19.0,8.0,6.7,208.8,4.4,0.0,48.8
2-Aug-17,18,47.26,-113.5,1022.0,20.6,7.9,6.1,162.6,4.0,0.0,42.0
2-Aug-17,19,47.26,-113.5,1020.7,21.4,8.2,6.8,167.8,5.2,0.0,40.2
2-Aug-17,20,47.26,-113.5,1021.1,21.7,8.2,7.7,160.4,6.1,0.0,39.0
2-Aug-17,21,47.26,-113.5,1020.3,22.9,7.1,7.7,155.6,5.7,0.0,29.8
2-Aug-17,22,47.26,-113.5,1019.9,23.1,8.0,7.9,146.6,4.9,0.0,32.9
2-Aug-17,23,47.26,-113.5,1019.1,22.9,8.3,7.8,125.5,5.5,0.0,34.9
2-Aug-17,0,47.26,-113.5,1018.9,22.4,9.7,8.0,101.3,5.0,0.0,42.7
2-Aug-17,1,47.26,-113.5,1018.7,21.3,10.4,8.5,85.4,6.0,0.0,50.0
2-Aug-17,2,47.26,-113.5,1018.3,20.1,8.8,8.7,65.5,6.7,0.0,47.9
2-Aug-17,3,47.26,-113.5,1018.0,17.8,11.2,9.0,57.8,3.4,0.0,67.7
2-Aug-17,4,47.26,-113.5,1018.7,16.0,10.2,8.4,243.4,0.8,0.0,70.9
2-Aug-17,5,47.26,-113.5,1019.8,15.6,10.1,8.4,244.6,2.0,0.0,72.1
2-Aug-17,24,47.26,-113.5,1019.7,18.4,7.9,8.3,128.8,4.8,0.0,50.9
